t_centre_s,phase,phase_label,freeze_index,tremor_power,movement_energy
2.000,0,still,0.2838,2914.3041,51441.0035
4.000,0,still,0.0970,8998.1417,191659.8367
6.000,0,still,0.0551,1217.5444,68292.4841
8.000,0,still,0.1543,214.2797,5865.2114
10.000,0,still,0.1143,9424.3964,194838.5612
12.000,0,still,0.0949,6032.8120,157711.1800
14.000,0,still,0.1111,690.8202,32943.9101
16.000,0,still,0.4058,4901.0569,49445.8976
18.000,0,still,0.1608,6569.8008,131463.9773
20.000,0,still,0.0832,8776.6648,227595.4525
22.000,1,walk,0.0707,7908.8422,260993.9791
24.000,1,walk,0.3157,10511.5215,118005.8457
26.000,1,walk,0.5019,2309.0322,23192.5431
28.000,1,walk,1.1861,172.5447,878.9620
30.000,1,walk,1.3924,38.2003,658.0231
32.000,1,walk,2.5411,92.2854,419.7477
34.000,1,walk,0.6331,2369.6214,29553.6409
36.000,1,walk,0.3300,4662.7502,57516.8053
38.000,1,walk,0.8372,32170.2380,121419.5837
40.000,1,walk,1.6437,7166.1477,27074.9322
42.000,1,walk,1.2351,1074.4834,4902.2564
44.000,1,walk,2.2099,5651.8807,19596.3105
46.000,1,walk,0.4648,1187.7342,15998.0858
48.000,1,walk,1.5838,23399.9987,76188.9752
50.000,1,walk,0.5448,19176.8665,129408.2771
52.000,1,walk,0.9491,22402.7682,100044.1525
54.000,1,walk,0.2965,3411.1197,96326.9772
56.000,1,walk,1.6710,31484.6479,86135.4116
58.000,1,walk,0.9706,4899.4473,27714.6946
60.000,1,walk,3.2022,8941.5733,26080.4618
62.000,2,freeze,0.3424,212.3370,2975.8334
64.000,2,freeze,4.1379,341.9438,2419.0077
66.000,2,freeze,0.1854,5784.0632,72790.7785
68.000,2,freeze,0.0969,5730.1698,178132.5819
70.000,2,freeze,0.0584,9995.5839,297966.1109
72.000,2,freeze,0.0604,6739.0269,288128.3927
74.000,2,freeze,0.0803,7548.5933,291350.2903
76.000,2,freeze,0.3251,6998.2714,54982.3024
78.000,2,freeze,0.1241,17248.0487,299991.5299
80.000,2,freeze,0.1127,9910.5442,283767.6527
82.000,3,walk,0.2515,16865.5353,324846.5351
84.000,3,walk,0.1846,5258.8132,129782.6175
86.000,3,walk,3.8440,16.2052,40.6320
88.000,3,walk,2.8729,4.4354,21.6417
90.000,3,walk,1.0938,4.5078,25.4140
92.000,3,walk,5.3532,7.4122,29.2152
94.000,3,walk,2.7575,7.1149,24.5794
96.000,3,walk,1.0172,3960.7800,20202.8164
98.000,3,walk,0.0602,4305.9623,321411.8327
100.000,3,walk,0.1966,8885.1827,233161.5096
102.000,3,walk,0.0983,785.5334,40776.1616
104.000,3,walk,0.3565,231.7495,3683.3422
106.000,3,walk,0.1238,7973.2570,174692.1752
108.000,3,walk,0.1640,19795.9800,323663.9368
110.000,3,walk,0.0972,3276.8097,221637.1816
112.000,3,walk,0.1657,1220.5890,50845.4212
114.000,3,walk,2.0707,3.8213,27.7310
116.000,3,walk,1.3138,7.5469,29.5696
118.000,3,walk,0.4564,1989.6964,12162.6402
120.000,3,walk,0.4118,17340.0696,168177.0614
122.000,4,freeze,0.7921,17028.6546,80427.9205
124.000,4,freeze,0.8987,8464.6980,56838.0498
126.000,4,freeze,0.5902,4013.2893,27873.4001
128.000,4,freeze,0.3898,6400.5724,79355.0702
130.000,4,freeze,0.0746,4437.7657,273536.9944
132.000,4,freeze,0.1464,9064.8225,282439.1745
134.000,4,freeze,0.1045,10664.5686,256471.1355
136.000,4,freeze,0.2600,5003.0522,50891.8910
138.000,4,freeze,0.0757,6698.4005,208827.7539
140.000,4,freeze,0.1019,5859.3005,281522.3621
142.000,5,walk,0.0900,10810.9316,297256.3450
144.000,5,walk,0.1106,8118.7963,169450.0043
146.000,5,walk,0.4164,1674.7320,20757.4815
148.000,5,walk,1.1140,54.1977,333.1781
150.000,5,walk,1.4607,113.5091,401.1362
152.000,5,walk,0.0728,482.5867,17398.2719
154.000,5,walk,0.2729,6985.8061,106802.3716
156.000,5,walk,0.2447,15272.6576,180131.4122
158.000,5,walk,0.2393,5060.4313,64363.6508
