t_centre_s,phase,phase_label,freeze_index,tremor_power,movement_energy
2.000,0,phase 0,1.3610,28.8460,245.6121
4.000,0,phase 0,0.6839,12.8384,179.1012
6.000,0,phase 0,0.5583,40.1967,221.2113
8.000,0,phase 0,0.3007,114.7204,1039.2049
10.000,0,phase 0,1.9524,221.1315,1085.9027
12.000,0,phase 0,1.4732,196.4050,655.2884
14.000,0,phase 0,1.4425,183.4986,1060.4761
16.000,0,phase 0,0.6537,1687.0722,7520.5922
18.000,0,phase 0,3.3967,55.5267,279.5699
20.000,0,phase 0,0.7534,515.4327,2095.4553
22.000,1,phase 1,0.4621,5820.7980,50209.7349
24.000,1,phase 1,1.1177,2733.6360,13830.2707
26.000,1,phase 1,0.7038,2221.2186,17222.7799
28.000,1,phase 1,0.4664,3261.7481,20654.2989
30.000,1,phase 1,0.2836,2543.8049,15624.0853
32.000,1,phase 1,0.6306,7667.4371,31147.2754
34.000,1,phase 1,3.6756,10575.7609,46772.9065
36.000,1,phase 1,10.2268,47545.1373,67885.8061
38.000,1,phase 1,1.0757,22941.6901,66824.6975
40.000,1,phase 1,1.6047,4182.3457,38630.9810
42.000,1,phase 1,3.3485,16788.1243,40806.8554
44.000,1,phase 1,0.3549,6106.1273,50875.5229
46.000,1,phase 1,0.3991,12371.0156,70456.4042
48.000,1,phase 1,0.6477,29460.3589,117497.7161
50.000,1,phase 1,1.1627,14672.3738,81593.3025
52.000,1,phase 1,0.9359,5219.2421,74698.2984
54.000,1,phase 1,1.9512,14085.0813,86383.7151
56.000,1,phase 1,0.4168,3581.4246,23691.8829
58.000,1,phase 1,0.1264,2482.6689,43909.4605
60.000,1,phase 1,0.3764,4216.1300,20681.5221
62.000,2,phase 2,1.2395,128.3857,450.7700
64.000,2,phase 2,1.8775,48.1997,257.6336
66.000,2,phase 2,3.6793,187.0456,340.9351
68.000,2,phase 2,2.4001,94.2654,374.5129
70.000,2,phase 2,1.1968,37.7669,182.3746
72.000,2,phase 2,3.2956,37.6760,151.0220
74.000,2,phase 2,137.0354,10500.2832,15902.1985
76.000,2,phase 2,203.8603,53623.3018,55639.0727
78.000,2,phase 2,805.6667,91116.3854,93242.2388
80.000,2,phase 2,89.4423,61479.7428,73968.4175
82.000,3,phase 3,0.7854,5179.3605,16479.3427
84.000,3,phase 3,0.3909,3598.8594,22179.9896
86.000,3,phase 3,2.5315,664.7291,2515.8449
88.000,3,phase 3,2.6905,349.0161,2241.5287
