start_unix,start_iso,duration_s,peak_freeze_index
223448,1970-01-03T15:04:07,6.1,5.50
223458,1970-01-03T15:04:17,1.5,7.82
223491,1970-01-03T15:04:50,28.3,66.23
223599,1970-01-03T15:06:39,6.1,5.50
223609,1970-01-03T15:06:49,1.5,7.83
223643,1970-01-03T15:07:22,28.3,62.25
223751,1970-01-03T15:09:11,6.1,5.36
223760,1970-01-03T15:09:20,1.5,7.56
223794,1970-01-03T15:09:54,28.4,63.67
223903,1970-01-03T15:11:42,5.6,5.43
223912,1970-01-03T15:11:51,1.5,7.74
223946,1970-01-03T15:12:25,27.8,61.21
224054,1970-01-03T15:14:14,5.7,5.46
224063,1970-01-03T15:14:23,1.5,7.63
224097,1970-01-03T15:14:57,28.3,65.78
224206,1970-01-03T15:16:45,6.1,5.45
224215,1970-01-03T15:16:54,1.5,7.63
224249,1970-01-03T15:17:28,28.2,66.50
224358,1970-01-03T15:19:17,5.6,5.46
224367,1970-01-03T15:19:26,1.5,7.79
224400,1970-01-03T15:20:00,28.1,66.20
224509,1970-01-03T15:21:48,6.1,5.49
224518,1970-01-03T15:21:58,1.0,7.66
224552,1970-01-03T15:22:31,18.5,62.74
224572,1970-01-03T15:22:51,8.2,32.82
224660,1970-01-03T15:24:20,6.2,5.51
224670,1970-01-03T15:24:29,1.0,7.72
224703,1970-01-03T15:25:03,28.0,61.21
224812,1970-01-03T15:26:52,5.8,5.50
224821,1970-01-03T15:27:01,1.5,7.79
224855,1970-01-03T15:27:35,27.7,65.21
224963,1970-01-03T15:29:23,5.8,5.46
224973,1970-01-03T15:29:32,1.5,7.79
225006,1970-01-03T15:30:06,28.5,62.79
225115,1970-01-03T15:31:54,5.7,5.42
225124,1970-01-03T15:32:04,1.5,7.79
225158,1970-01-03T15:32:37,28.3,64.50
225267,1970-01-03T15:34:26,5.8,5.50
225276,1970-01-03T15:34:35,1.5,7.79
225309,1970-01-03T15:35:09,28.2,66.50
225418,1970-01-03T15:36:58,5.9,5.44
225427,1970-01-03T15:37:07,1.5,7.83
225461,1970-01-03T15:37:41,27.9,66.04
225570,1970-01-03T15:39:29,5.8,5.50
225579,1970-01-03T15:39:38,1.5,7.83
225613,1970-01-03T15:40:12,28.0,63.67
225721,1970-01-03T15:42:00,5.8,5.40
225730,1970-01-03T15:42:10,1.5,7.68
225764,1970-01-03T15:42:44,28.2,66.44
225873,1970-01-03T15:44:32,5.3,5.48
225882,1970-01-03T15:44:41,1.5,7.79
225915,1970-01-03T15:45:15,28.2,66.01
226024,1970-01-03T15:47:04,5.8,5.49
226033,1970-01-03T15:47:13,1.5,7.72
226067,1970-01-03T15:47:46,19.0,63.22
226087,1970-01-03T15:48:07,8.2,30.36
226176,1970-01-03T15:49:35,5.7,5.48
226185,1970-01-03T15:49:45,1.5,7.82
226219,1970-01-03T15:50:18,16.5,66.04
226236,1970-01-03T15:50:36,10.6,32.82
226327,1970-01-03T15:52:06,6.1,5.49
226336,1970-01-03T15:52:16,1.5,7.59
226370,1970-01-03T15:52:50,28.1,64.50
226479,1970-01-03T15:54:38,5.8,5.50
226488,1970-01-03T15:54:48,1.5,7.83
226522,1970-01-03T15:55:21,28.1,66.04
226630,1970-01-03T15:57:10,6.4,5.36
226639,1970-01-03T15:57:19,1.5,7.59
226673,1970-01-03T15:57:53,28.4,62.74
226782,1970-01-03T15:59:41,5.8,5.48
226791,1970-01-03T15:59:51,1.5,7.83
226825,1970-01-03T16:00:24,27.9,66.44
226933,1970-01-03T16:02:13,6.1,5.51
226943,1970-01-03T16:02:22,1.5,7.59
226977,1970-01-03T16:02:56,27.9,65.78
227085,1970-01-03T16:04:44,6.3,5.40
227094,1970-01-03T16:04:54,1.5,7.53
227128,1970-01-03T16:05:28,27.9,64.10
227236,1970-01-03T16:07:16,5.9,5.49
227246,1970-01-03T16:07:25,1.5,7.83
227279,1970-01-03T16:07:59,27.9,61.21
227388,1970-01-03T16:09:47,5.8,5.48
227397,1970-01-03T16:09:57,1.5,7.83
227431,1970-01-03T16:10:31,18.4,66.04
227451,1970-01-03T16:10:50,8.1,31.75
227540,1970-01-03T16:12:19,5.8,5.51
227549,1970-01-03T16:12:28,1.5,7.81
227583,1970-01-03T16:13:02,27.8,64.50
227691,1970-01-03T16:14:51,5.8,5.50
227700,1970-01-03T16:15:00,1.5,7.76
227734,1970-01-03T16:15:33,28.2,61.21
227843,1970-01-03T16:17:22,6.1,5.44
227852,1970-01-03T16:17:31,1.5,7.60
227886,1970-01-03T16:18:05,28.2,59.55
227994,1970-01-03T16:19:53,5.8,5.28
228003,1970-01-03T16:20:03,1.5,7.68
228037,1970-01-03T16:20:36,28.3,64.50
228145,1970-01-03T16:22:25,6.1,5.50
228155,1970-01-03T16:22:35,1.5,7.81
228188,1970-01-03T16:23:08,28.3,66.37
228297,1970-01-03T16:24:57,6.1,5.45
228306,1970-01-03T16:25:06,1.5,7.63
228340,1970-01-03T16:25:40,28.0,66.01
228449,1970-01-03T16:27:28,6.1,5.36
228458,1970-01-03T16:27:37,1.5,7.59
228492,1970-01-03T16:28:11,28.3,64.50
228600,1970-01-03T16:30:00,5.6,5.44
228609,1970-01-03T16:30:09,1.5,7.76
228643,1970-01-03T16:30:43,27.8,62.20
228752,1970-01-03T16:32:31,6.1,5.50
228761,1970-01-03T16:32:41,1.5,7.82
228795,1970-01-03T16:33:14,28.3,66.46
228903,1970-01-03T16:35:03,6.1,5.38
228912,1970-01-03T16:35:12,1.5,7.56
228946,1970-01-03T16:35:46,27.8,61.21
229055,1970-01-03T16:37:34,6.1,5.49
229064,1970-01-03T16:37:44,1.5,7.74
229098,1970-01-03T16:38:17,28.4,64.87
229206,1970-01-03T16:40:06,6.1,5.50
229216,1970-01-03T16:40:15,1.5,7.83
229249,1970-01-03T16:40:49,28.3,66.23
229358,1970-01-03T16:42:37,6.1,5.42
229367,1970-01-03T16:42:46,1.5,7.57
229401,1970-01-03T16:43:20,28.3,64.10
229509,1970-01-03T16:45:09,6.1,5.47
229519,1970-01-03T16:45:18,1.5,7.81
229553,1970-01-03T16:45:52,27.9,65.80
229661,1970-01-03T16:47:41,5.6,5.40
229670,1970-01-03T16:47:50,1.5,7.68
229704,1970-01-03T16:48:24,27.8,63.35
229812,1970-01-03T16:50:12,6.1,5.44
229822,1970-01-03T16:50:21,1.5,7.60
229855,1970-01-03T16:50:55,27.9,62.74
229964,1970-01-03T16:52:43,6.1,5.50
229973,1970-01-03T16:52:53,1.5,7.76
230007,1970-01-03T16:53:26,28.4,65.21
230115,1970-01-03T16:55:15,6.1,5.50
230125,1970-01-03T16:55:24,1.5,7.83
230158,1970-01-03T16:55:58,28.4,66.50
230267,1970-01-03T16:57:46,6.1,5.47
230276,1970-01-03T16:57:56,1.5,7.81
230310,1970-01-03T16:58:30,27.9,65.80
230419,1970-01-03T17:00:18,6.1,5.36
230428,1970-01-03T17:00:27,1.5,7.59
230462,1970-01-03T17:01:01,27.9,61.56
230570,1970-01-03T17:02:50,6.1,5.45
230579,1970-01-03T17:02:59,1.5,7.60
230613,1970-01-03T17:03:33,27.9,62.74
230722,1970-01-03T17:05:21,6.1,5.50
230731,1970-01-03T17:05:31,1.5,7.76
230765,1970-01-03T17:06:04,28.4,64.87
230873,1970-01-03T17:07:52,6.1,5.50
230883,1970-01-03T17:08:02,1.5,7.83
230916,1970-01-03T17:08:36,28.4,66.34
231024,1970-01-03T17:10:24,6.1,5.49
231034,1970-01-03T17:10:34,1.5,7.83
231068,1970-01-03T17:11:07,28.4,66.50
231176,1970-01-03T17:12:55,6.1,5.48
