# CADENCE on-board capture (CPX SPI-flash logger)
# samples=10305  rate_hz=64  duration_s=161.02
# protocol: STILL>WALK>FREEZE>WALK>FREEZE>WALK>FREEZE>WALK>STILL
# analyze: --labels still,walk,freeze,walk,freeze,walk,freeze,walk,still --freeze-phases 2,4,6
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-1014,389,-258,0
1,0.0156,-1309,-810,-569,0
2,0.0312,-1238,-940,-165,0
3,0.0469,-1040,-930,-82,0
4,0.0625,-1079,426,-185,0
5,0.0781,-1062,367,-447,0
6,0.0937,-989,-415,-122,0
7,0.1094,-838,-194,-185,0
8,0.1250,-1011,63,-292,0
9,0.1406,-995,-97,-241,0
10,0.1562,-915,-222,-161,0
11,0.1719,-894,-309,-168,0
12,0.1875,-915,-198,-213,0
13,0.2031,-924,-78,-252,0
14,0.2187,-914,-173,-246,0
15,0.2344,-926,-145,-219,0
16,0.2500,-952,-145,-276,0
17,0.2656,-945,-111,-309,0
18,0.2812,-921,-113,-287,0
19,0.2969,-930,-82,-315,0
20,0.3125,-933,-68,-331,0
21,0.3281,-924,-126,-268,0
22,0.3437,-908,-45,-222,0
23,0.3594,-943,-22,-248,0
24,0.3750,-937,-11,-229,0
25,0.3906,-929,-33,-227,0
26,0.4062,-930,8,-274,0
27,0.4219,-940,12,-261,0
28,0.4375,-960,-11,-172,0
29,0.4531,-960,-13,-111,0
30,0.4687,-952,-24,-142,0
31,0.4844,-940,-53,-198,0
32,0.5000,-954,-19,-120,0
33,0.5156,-967,18,-143,0
34,0.5312,-964,-21,-135,0
35,0.5469,-936,-36,-99,0
36,0.5625,-952,-46,-100,0
37,0.5781,-962,-45,-152,0
38,0.5937,-944,-88,-145,0
39,0.6094,-973,-37,-201,0
40,0.6250,-979,-45,-134,0
41,0.6406,-973,-49,-134,0
42,0.6562,-971,-46,-83,0
43,0.6719,-1017,-47,-86,0
44,0.6875,-1053,51,-97,0
45,0.7031,-1117,142,-76,0
46,0.7187,-1213,107,-98,0
47,0.7344,-1286,32,-144,0
48,0.7500,-1332,-63,-62,0
49,0.7656,-1259,119,-175,0
50,0.7812,-1207,-188,31,0
51,0.7969,-1261,-198,63,0
52,0.8125,-1252,-159,-78,0
53,0.8281,-1180,-136,-107,0
54,0.8438,-1088,-99,-88,0
55,0.8594,-953,50,-235,0
56,0.8750,-781,175,-173,0
57,0.8906,-663,446,-117,0
58,0.9063,-589,556,-113,0
59,0.9219,-646,574,-78,0
60,0.9375,-627,0,-232,0
61,0.9531,-505,-31,-71,0
62,0.9688,-491,-93,8,0
63,0.9844,-471,13,-55,0
64,1.0000,-499,47,15,0
65,1.0156,-560,45,76,0
66,1.0313,-654,-6,51,0
67,1.0469,-761,-2,28,0
68,1.0625,-874,45,13,0
69,1.0781,-950,70,-41,0
70,1.0938,-1036,60,-17,0
71,1.1094,-1063,10,-40,0
72,1.1250,-1055,-32,44,0
73,1.1406,-1045,-115,23,0
74,1.1563,-1031,-138,-24,0
75,1.1719,-1019,-154,64,0
76,1.1875,-1024,-187,46,0
77,1.2031,-1052,-213,35,0
78,1.2188,-1082,-248,42,0
79,1.2344,-1081,-252,-2,0
80,1.2500,-1077,-249,-91,0
81,1.2656,-1055,-250,-72,0
82,1.2813,-1051,-244,-48,0
83,1.2969,-1056,-258,-140,0
84,1.3125,-1052,-286,-120,0
85,1.3281,-1036,-240,-177,0
86,1.3438,-1054,-221,-180,0
87,1.3594,-1030,-190,-182,0
88,1.3750,-1007,-132,-159,0
89,1.3906,-987,-112,-106,0
90,1.4063,-957,-103,-86,0
91,1.4219,-950,-106,-73,0
92,1.4375,-919,-4,-52,0
93,1.4531,-923,43,-59,0
94,1.4688,-921,88,-33,0
95,1.4844,-909,158,-44,0
96,1.5000,-878,238,-115,0
97,1.5156,-866,352,-237,0
98,1.5313,-915,72,-682,0
99,1.5469,-1353,-336,-562,0
100,1.5625,-1307,-750,-67,0
101,1.5781,-1052,-547,168,0
102,1.5938,-951,206,123,0
103,1.6094,-1012,-284,-59,0
104,1.6250,-982,-335,-66,0
105,1.6406,-923,31,-254,0
106,1.6563,-958,172,-359,0
107,1.6719,-1008,161,-332,0
108,1.6875,-995,-46,-174,0
109,1.7031,-952,-143,-155,0
110,1.7188,-943,-194,-93,0
111,1.7344,-918,-177,-93,0
112,1.7500,-937,-106,-148,0
113,1.7656,-937,-63,-196,0
114,1.7813,-941,-81,-261,0
115,1.7969,-932,-136,-274,0
116,1.8125,-931,-108,-271,0
117,1.8281,-933,-132,-221,0
118,1.8438,-973,-116,-156,0
119,1.8594,-968,-123,-205,0
120,1.8750,-936,-76,-159,0
121,1.8906,-910,-103,-275,0
122,1.9063,-935,-97,-212,0
123,1.9219,-943,-63,-206,0
124,1.9375,-951,-41,-189,0
125,1.9531,-933,-39,-183,0
126,1.9688,-949,-84,-222,0
127,1.9844,-945,-59,-244,0
128,2.0000,-934,-24,-239,0
129,2.0156,-929,18,-183,0
130,2.0312,-956,23,-155,0
131,2.0469,-972,-23,-137,0
132,2.0625,-962,-27,-236,0
133,2.0781,-986,7,-204,0
134,2.0937,-942,56,-220,0
135,2.1094,-931,24,-159,0
136,2.1250,-959,18,-173,0
137,2.1406,-960,29,-214,0
138,2.1562,-965,0,-178,0
139,2.1719,-969,-26,-166,0
140,2.1875,-957,-13,-220,0
141,2.2031,-977,-34,-206,0
142,2.2187,-997,-15,-216,0
143,2.2344,-1031,71,-235,0
144,2.2500,-1158,127,-98,0
145,2.2656,-1144,228,-121,0
146,2.2812,-1187,120,-130,0
147,2.2969,-1262,102,-181,0
148,2.3125,-1438,6,-53,0
149,2.3281,-1297,-375,-63,0
150,2.3437,-1400,-89,-137,0
151,2.3594,-1408,-265,-137,0
152,2.3750,-1308,-188,-279,0
153,2.3906,-1245,-210,-245,0
154,2.4062,-1184,-382,-314,0
155,2.4219,-1088,-331,-384,0
156,2.4375,-1071,-297,-294,0
157,2.4531,-1009,25,-8,0
158,2.4687,-950,328,46,0
159,2.4844,-1038,140,-288,0
160,2.5000,-968,-229,-449,0
161,2.5156,-819,-161,-431,0
162,2.5312,-763,-350,-296,0
163,2.5469,-639,-287,-398,0
164,2.5625,-666,-90,-494,0
165,2.5781,-702,16,-532,0
166,2.5937,-759,39,-725,0
167,2.6094,-841,161,-833,0
168,2.6250,-873,250,-946,0
169,2.6406,-884,294,-1001,0
170,2.6562,-907,358,-1062,0
171,2.6719,-884,424,-1136,0
172,2.6875,-882,473,-1218,0
173,2.7031,-843,415,-1246,0
174,2.7187,-813,463,-1319,0
175,2.7344,-841,540,-1291,0
176,2.7500,-863,531,-1246,0
177,2.7656,-906,522,-1164,0
178,2.7812,-933,497,-985,0
179,2.7969,-1043,368,-841,0
180,2.8125,-1089,240,-809,0
181,2.8281,-1242,191,-673,0
182,2.8437,-1312,224,-656,0
183,2.8594,-1768,1372,-45,0
184,2.8750,-1828,1176,206,0
185,2.8906,-1670,1088,367,0
186,2.9062,-1591,1265,424,0
187,2.9219,-1378,1402,553,0
188,2.9375,-1353,1654,637,0
189,2.9531,-1515,1068,763,0
190,2.9687,-1938,-784,-114,0
191,2.9844,-1197,-1765,-374,0
192,3.0000,-1091,-680,124,0
193,3.0156,-1017,952,325,0
194,3.0312,-1160,808,-301,0
195,3.0469,-1119,-65,-369,0
196,3.0625,-884,-5,-253,0
197,3.0781,-884,62,-419,0
198,3.0937,-935,-46,-247,0
199,3.1094,-966,16,-3,0
200,3.1250,-1012,-226,28,0
201,3.1406,-951,-350,-48,0
202,3.1562,-922,-168,-194,0
203,3.1719,-905,-55,-345,0
204,3.1875,-922,17,-461,0
205,3.2031,-916,32,-265,0
206,3.2187,-908,-159,-152,0
207,3.2344,-926,-268,-106,0
208,3.2500,-940,-94,-151,0
209,3.2656,-967,12,-186,0
210,3.2812,-944,61,-252,0
211,3.2969,-936,36,-255,0
212,3.3125,-944,24,-180,0
213,3.3281,-957,1,-147,0
214,3.3437,-970,60,-191,0
215,3.3594,-960,86,-143,0
216,3.3750,-950,77,-183,0
217,3.3906,-963,67,-182,0
