# LOGGING FINISHED
# samples=2652  rate_hz=64  duration_s=41.44
# phase boundaries (sample idx): 0 697 1257 2036
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-85,-234,949,0
1,0.0156,-152,-285,894,0
2,0.0312,-105,-214,972,0
3,0.0469,-125,-214,894,0
4,0.0625,-164,-222,917,0
5,0.0781,-128,-199,949,0
6,0.0937,-66,-226,878,0
7,0.1094,-66,-230,875,0
8,0.1250,-78,-285,898,0
9,0.1406,-89,-218,921,0
10,0.1562,-74,-246,968,0
11,0.1719,-82,-242,914,0
12,0.1875,-85,-230,914,0
13,0.2031,-82,-226,894,0
14,0.2187,-105,-253,906,0
15,0.2344,-70,-250,945,0
16,0.2500,-39,-222,1007,0
17,0.2656,-46,-285,910,0
18,0.2812,-35,-250,914,0
19,0.2969,-58,-261,945,0
20,0.3125,-35,-242,988,0
21,0.3281,-46,-253,945,0
22,0.3437,-42,-257,929,0
23,0.3594,-46,-250,964,0
24,0.3750,-42,-242,914,0
25,0.3906,-54,-246,925,0
26,0.4062,-27,-265,933,0
27,0.4219,-11,-253,976,0
28,0.4375,-23,-253,906,0
29,0.4531,-35,-261,910,0
30,0.4687,-46,-277,921,0
31,0.4844,-39,-265,886,0
32,0.5000,-35,-250,960,0
33,0.5156,-31,-277,914,0
34,0.5312,-19,-269,933,0
35,0.5469,-7,-269,976,0
36,0.5625,-23,-273,941,0
37,0.5781,-19,-253,886,0
38,0.5937,-27,-269,921,0
39,0.6094,-39,-253,945,0
40,0.6250,-27,-257,941,0
41,0.6406,-15,-253,929,0
42,0.6562,-35,-253,941,0
43,0.6719,-35,-257,949,0
44,0.6875,-15,-242,921,0
45,0.7031,-39,-281,953,0
46,0.7187,-15,-269,933,0
47,0.7344,-50,-265,984,0
48,0.7500,-23,-261,945,0
49,0.7656,-27,-257,921,0
50,0.7812,-11,-285,902,0
51,0.7969,-23,-277,914,0
52,0.8125,23,-257,937,0
53,0.8281,-15,-250,929,0
54,0.8438,-19,-261,886,0
55,0.8594,-15,-257,945,0
56,0.8750,-19,-257,921,0
57,0.8906,-15,-265,941,0
58,0.9063,-35,-246,933,0
59,0.9219,-27,-265,968,0
60,0.9375,-23,-277,949,0
61,0.9531,-19,-257,933,0
62,0.9688,-15,-261,941,0
63,0.9844,-39,-277,929,0
64,1.0000,-15,-257,968,0
65,1.0156,-15,-273,937,0
66,1.0313,-11,-281,906,0
67,1.0469,-11,-269,921,0
