# CADENCE on-board capture (CPX SPI-flash logger)
# samples=11438  rate_hz=64  duration_s=178.72
# protocol: STILL>WALK>FREEZE>WALK>FREEZE>WALK>FREEZE>WALK>STILL
# analyze: --labels still,walk,freeze,walk,freeze,walk,freeze,walk,still --freeze-phases 2,4,6
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,1227,326,-117,0
1,0.0156,1340,362,-248,0
2,0.0312,1234,521,-332,0
3,0.0469,1199,702,-382,0
4,0.0625,1116,564,-330,0
5,0.0781,1153,339,-191,0
6,0.0937,1177,327,-246,0
7,0.1094,1180,680,-260,0
8,0.1250,660,792,-185,0
9,0.1406,612,668,-66,0
10,0.1562,593,614,10,0
11,0.1719,535,633,115,0
12,0.1875,593,442,162,0
13,0.2031,700,363,265,0
14,0.2187,747,328,303,0
15,0.2344,703,385,378,0
16,0.2500,670,481,398,0
17,0.2656,691,543,410,0
18,0.2812,709,579,398,0
19,0.2969,744,626,448,0
20,0.3125,824,617,312,0
21,0.3281,942,558,337,0
22,0.3437,1048,520,226,0
23,0.3594,1251,422,149,0
24,0.3750,1329,333,59,0
25,0.3906,1372,343,-3,0
26,0.4062,1475,270,-32,0
27,0.4219,1527,229,-90,0
28,0.4375,1691,159,-207,0
29,0.4531,1726,-22,-296,0
30,0.4687,1776,-354,-416,0
31,0.4844,1748,-685,-471,0
32,0.5000,1767,-1166,-352,0
33,0.5156,1733,-1069,-278,0
34,0.5312,1514,-839,-138,0
35,0.5469,1480,-896,-211,0
36,0.5625,1495,-876,-261,0
37,0.5781,1418,377,-443,0
38,0.5937,18,1965,-40,0
39,0.6094,455,476,182,0
40,0.6250,1393,-256,209,0
41,0.6406,1928,-806,116,0
42,0.6562,629,1065,-211,0
43,0.6719,883,282,288,0
44,0.6875,1277,-246,-297,0
45,0.7031,796,673,-167,0
46,0.7187,888,274,-175,0
47,0.7344,1066,122,-88,0
48,0.7500,969,309,-43,0
49,0.7656,851,440,-104,0
50,0.7812,817,405,-154,0
51,0.7969,877,349,-155,0
52,0.8125,882,326,-156,0
53,0.8281,890,278,-104,0
54,0.8438,933,265,-148,0
55,0.8594,921,309,-61,0
56,0.8750,899,278,-110,0
57,0.8906,925,255,-153,0
58,0.9063,934,266,-200,0
59,0.9219,918,265,-154,0
60,0.9375,920,274,-174,0
61,0.9531,950,225,-142,0
62,0.9688,937,213,-163,0
63,0.9844,925,237,-96,0
64,1.0000,953,213,-120,0
65,1.0156,953,221,-138,0
66,1.0313,961,165,-95,0
67,1.0469,964,146,-139,0
68,1.0625,974,159,-188,0
69,1.0781,1003,111,-229,0
70,1.0938,994,148,-224,0
71,1.1094,997,194,-253,0
72,1.1250,1049,248,-215,0
73,1.1406,1095,198,-194,0
74,1.1563,1163,398,-6,0
75,1.1719,1124,401,126,0
76,1.1875,1166,463,38,0
77,1.2031,1340,558,48,0
78,1.2188,1402,400,-263,0
79,1.2344,1478,473,-329,0
80,1.2500,1515,615,-372,0
81,1.2656,1550,767,-349,0
82,1.2813,1519,945,-450,0
83,1.2969,1204,1251,-299,0
84,1.3125,1129,1227,-39,0
85,1.3281,824,406,-253,0
86,1.3438,892,-72,-240,0
87,1.3594,1449,53,-128,0
88,1.3750,728,546,-281,0
89,1.3906,336,740,-288,0
90,1.4063,157,560,-189,0
91,1.4219,384,252,-49,0
92,1.4375,455,169,-114,0
93,1.4531,379,333,-142,0
94,1.4688,445,258,-163,0
95,1.4844,631,66,-153,0
96,1.5000,739,-16,-130,0
97,1.5156,733,88,-97,0
98,1.5313,819,69,-135,0
99,1.5469,941,-11,-97,0
100,1.5625,942,135,-142,0
101,1.5781,977,269,-109,0
102,1.5938,1034,282,-130,0
103,1.6094,1218,310,-210,0
104,1.6250,1260,361,-232,0
105,1.6406,1376,372,-326,0
106,1.6563,1385,366,-402,0
107,1.6719,1477,289,-544,0
108,1.6875,1672,-156,-552,0
109,1.7031,1819,-545,-461,0
110,1.7188,1597,-270,-674,0
111,1.7344,1616,-905,-709,0
112,1.7500,1760,-1290,-725,0
113,1.7656,1636,-946,-644,0
114,1.7813,1389,-709,-392,0
115,1.7969,1452,-188,-119,0
116,1.8125,1685,536,249,0
117,1.8281,916,1700,-158,0
118,1.8438,654,624,-254,0
119,1.8594,1052,-376,491,0
120,1.8750,1230,-169,537,0
121,1.8906,1076,250,-147,0
122,1.9063,1025,327,-249,0
123,1.9219,980,158,11,0
124,1.9375,967,256,-58,0
125,1.9531,925,346,-105,0
126,1.9688,915,338,-42,0
127,1.9844,841,469,-18,0
128,2.0000,812,459,18,0
129,2.0156,893,366,65,0
130,2.0312,891,415,-48,0
131,2.0469,880,428,-96,0
132,2.0625,867,418,-80,0
133,2.0781,852,384,-92,0
134,2.0937,905,335,-107,0
135,2.1094,926,328,-88,0
136,2.1250,920,304,-51,0
137,2.1406,926,285,-91,0
138,2.1562,927,275,-95,0
139,2.1719,929,274,-78,0
140,2.1875,918,275,-79,0
141,2.2031,918,281,-79,0
142,2.2187,943,278,-16,0
143,2.2344,921,288,-84,0
144,2.2500,936,276,-82,0
145,2.2656,927,251,-48,0
146,2.2812,948,210,-52,0
147,2.2969,960,197,-75,0
148,2.3125,984,147,-80,0
149,2.3281,987,124,-71,0
150,2.3437,1010,158,-65,0
151,2.3594,1010,115,-119,0
152,2.3750,1027,161,-64,0
153,2.3906,1084,229,-12,0
154,2.4062,1121,276,22,0
155,2.4219,1140,351,2,0
156,2.4375,1280,494,55,0
157,2.4531,1419,437,-195,0
158,2.4687,1386,351,-233,0
159,2.4844,1457,534,-226,0
160,2.5000,1455,650,-148,0
161,2.5156,1524,777,-197,0
162,2.5312,1477,830,-252,0
163,2.5469,1260,1013,-343,0
164,2.5625,1163,1057,-277,0
165,2.5781,721,599,-157,0
166,2.5937,1147,-88,-33,0
167,2.6094,1358,146,-179,0
168,2.6250,684,709,-390,0
169,2.6406,228,795,-330,0
170,2.6562,329,565,-251,0
171,2.6719,477,282,-227,0
172,2.6875,412,329,-283,0
173,2.7031,422,414,-190,0
174,2.7187,575,301,-221,0
175,2.7344,715,121,-258,0
176,2.7500,769,81,-272,0
177,2.7656,790,101,-305,0
178,2.7812,891,32,-379,0
179,2.7969,1032,15,-387,0
180,2.8125,1086,58,-369,0
181,2.8281,1094,115,-406,0
182,2.8437,1158,132,-373,0
183,2.8594,1198,165,-493,0
184,2.8750,1210,234,-553,0
185,2.8906,1295,171,-646,0
186,2.9062,1310,90,-726,0
187,2.9219,1539,37,-865,0
188,2.9375,1557,-254,-758,0
189,2.9531,1985,-1044,-191,0
190,2.9687,1940,-558,-163,0
191,2.9844,1867,-849,-86,0
192,3.0000,1876,-1289,32,0
193,3.0156,1693,-1294,62,0
194,3.0312,1468,-992,128,0
195,3.0469,1439,-575,398,0
196,3.0625,1143,1599,186,0
197,3.0781,256,1986,493,0
198,3.0937,760,554,117,0
199,3.1094,1449,-493,391,0
200,3.1250,1595,-657,-127,0
201,3.1406,920,1205,-151,0
202,3.1562,965,-1,-300,0
203,3.1719,1040,168,-327,0
204,3.1875,873,400,-296,0
205,3.2031,936,305,-107,0
206,3.2187,929,338,27,0
207,3.2344,916,490,75,0
208,3.2500,884,552,-81,0
209,3.2656,867,361,-233,0
210,3.2812,859,326,-306,0
211,3.2969,867,345,-291,0
212,3.3125,867,333,-196,0
213,3.3281,891,366,-112,0
214,3.3437,902,382,-152,0
215,3.3594,902,357,-131,0
216,3.3750,902,308,-208,0
217,3.3906,894,283,-133,0
218,3.4062,908,259,-166,0
219,3.4219,893,271,-225,0
220,3.4375,917,262,-100,0
221,3.4531,908,220,-124,0
222,3.4687,920,300,-111,0
223,3.4844,921,277,-111,0
224,3.5000,927,255,-116,0
225,3.5156,923,241,-155,0
226,3.5312,937,210,-109,0
227,3.5469,939,206,-178,0
228,3.5625,942,189,-222,0
229,3.5781,962,168,-119,0
230,3.5937,953,201,-190,0
231,3.6094,964,236,-140,0
232,3.6250,987,283,-158,0
233,3.6406,1012,271,-183,0
234,3.6562,1029,280,-144,0
235,3.6719,1067,274,-116,0
236,3.6875,1132,285,-104,0
237,3.7031,1182,340,-241,0
238,3.7187,1263,214,-301,0
239,3.7344,1227,303,-230,0
240,3.7500,1296,371,-229,0
241,3.7656,1290,483,-226,0
242,3.7812,1419,534,-270,0
243,3.7969,1442,572,-388,0
244,3.8125,1383,730,-367,0
245,3.8281,1152,800,-210,0
246,3.8437,940,817,-156,0
247,3.8594,672,581,-88,0
248,3.8750,870,-24,-27,0
249,3.8906,1088,151,-74,0
250,3.9062,589,864,-97,0
251,3.9219,153,979,0,0
252,3.9375,217,712,99,0
253,3.9531,388,517,60,0
254,3.9687,391,455,48,0
255,3.9844,414,419,-16,0
256,4.0000,536,336,-98,0
257,4.0156,719,231,-89,0
258,4.0312,1006,102,-47,0
259,4.0469,1144,43,-37,0
260,4.0625,1245,-78,59,0
261,4.0781,1312,162,-53,0
262,4.0937,1221,376,-44,0
263,4.1094,1216,382,-120,0
264,4.1250,1304,427,-97,0
265,4.1406,1398,330,-207,0
266,4.1562,1438,-45,-134,0
267,4.1719,1728,-284,-187,0
268,4.1875,1721,-350,-243,0
269,4.2031,1540,-530,-239,0
270,4.2187,1547,-870,-296,0
271,4.2344,1584,-1132,-190,0
272,4.2500,1533,-971,-97,0
273,4.2656,1222,-627,-43,0
274,4.2812,1271,471,-74,0
275,4.2969,1064,1413,228,0
276,4.3125,693,1454,-189,0
277,4.3281,1264,-25,4,0
278,4.3437,1700,-273,361,0
279,4.3594,808,385,376,0
280,4.3750,809,355,-23,0
281,4.3906,1154,36,-5,0
282,4.4062,1080,353,46,0
283,4.4219,783,626,74,0
284,4.4375,976,248,42,0
285,4.4531,873,421,-55,0
286,4.4687,867,457,-94,0
287,4.4844,832,482,-172,0
288,4.5000,815,510,-156,0
289,4.5156,809,491,-195,0
290,4.5312,842,497,-52,0
291,4.5469,840,493,-59,0
292,4.5625,837,495,-108,0
293,4.5781,839,519,-8,0
294,4.5937,816,584,-98,0
295,4.6094,781,577,-160,0
296,4.6250,785,539,-156,0
297,4.6406,774,542,21,0
298,4.6562,800,576,-7,0
299,4.6719,832,520,-44,0
300,4.6875,863,463,5,0
301,4.7031,849,485,32,0
302,4.7187,898,431,-78,0
303,4.7344,925,291,-80,0
304,4.7500,917,291,-233,0
305,4.7656,914,282,-150,0
306,4.7812,939,351,-20,0
307,4.7969,1001,342,70,0
308,4.8125,923,300,-50,0
309,4.8281,958,312,-41,0
