# CADENCE free-form capture (CPX SPI-flash logger, on-device inference)
# samples=7216  rate_hz=64  duration_s=112.75
# phase = device-inferred state: 0=still  1=walk  2=freeze
# analyze: --labels still,walk,freeze --freeze-phases 2
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-250,-937,214,1
1,0.0156,-246,-937,207,1
2,0.0312,-250,-949,128,1
3,0.0469,-261,-933,97,1
4,0.0625,-226,-949,121,1
5,0.0781,-234,-964,207,1
6,0.0937,-238,-953,164,1
7,0.1094,-226,-949,160,1
8,0.1250,-242,-945,152,1
9,0.1406,-257,-949,234,1
10,0.1562,-261,-953,128,1
11,0.1719,-238,-941,148,1
12,0.1875,-246,-937,175,1
13,0.2031,-246,-945,152,1
14,0.2187,-253,-925,218,1
15,0.2344,-253,-925,148,1
16,0.2500,-246,-929,117,1
17,0.2656,-265,-933,121,1
18,0.2812,-250,-945,89,1
19,0.2969,-253,-941,152,1
20,0.3125,-250,-937,199,1
21,0.3281,-253,-921,121,1
22,0.3437,-246,-949,152,1
23,0.3594,-238,-945,187,1
24,0.3750,-246,-933,140,1
25,0.3906,-246,-929,101,1
26,0.4062,-265,-929,128,1
27,0.4219,-246,-945,179,1
28,0.4375,-253,-941,140,1
29,0.4531,-253,-937,113,1
30,0.4687,-250,-941,140,1
31,0.4844,-253,-933,171,1
32,0.5000,-246,-933,148,1
33,0.5156,-257,-937,152,1
34,0.5312,-250,-957,160,1
35,0.5469,-250,-929,93,1
36,0.5625,-250,-937,117,1
37,0.5781,-257,-945,148,1
38,0.5937,-253,-933,179,1
39,0.6094,-242,-941,144,1
40,0.6250,-257,-941,136,1
41,0.6406,-230,-953,144,1
42,0.6562,-226,-953,140,1
43,0.6719,-246,-945,214,1
44,0.6875,-242,-941,183,1
45,0.7031,-246,-933,140,1
46,0.7187,-257,-941,140,1
47,0.7344,-250,-949,140,1
48,0.7500,-246,-949,167,1
49,0.7656,-226,-941,144,1
50,0.7812,-246,-937,222,1
51,0.7969,-238,-949,160,1
52,0.8125,-234,-953,164,1
53,0.8281,-242,-917,128,1
54,0.8438,-246,-945,203,1
55,0.8594,-250,-953,148,1
56,0.8750,-250,-929,144,1
57,0.8906,-234,-949,175,1
58,0.9063,-234,-933,97,1
59,0.9219,-226,-941,140,1
60,0.9375,-234,-960,117,1
61,0.9531,-230,-953,148,1
62,0.9688,-250,-957,179,1
63,0.9844,-238,-949,140,1
64,1.0000,-246,-929,167,1
65,1.0156,-242,-933,93,1
66,1.0313,-246,-921,160,1
67,1.0469,-265,-945,117,1
68,1.0625,-246,-937,121,1
69,1.0781,-261,-960,97,1
70,1.0938,-242,-960,117,1
71,1.1094,-246,-933,136,1
72,1.1250,-230,-941,191,1
73,1.1406,-265,-929,148,1
74,1.1563,-257,-957,175,1
75,1.1719,-277,-949,128,1
76,1.1875,-281,-953,140,1
77,1.2031,-273,-957,152,1
78,1.2188,-277,-949,93,1
79,1.2344,-246,-949,148,1
80,1.2500,-281,-941,117,1
81,1.2656,-300,-953,15,1
82,1.2813,-296,-984,31,1
83,1.2969,-289,-988,46,1
84,1.3125,-296,-996,-15,1
85,1.3281,-296,-1011,85,1
86,1.3438,-324,-1035,109,1
87,1.3594,-355,-1085,160,1
88,1.3750,-378,-1039,226,1
89,1.3906,-406,-1046,207,1
90,1.4063,-378,-1125,144,1
91,1.4219,-429,-1062,191,1
92,1.4375,-398,-929,226,1
93,1.4531,-187,-1003,195,1
94,1.4688,-183,-921,203,1
95,1.4844,-230,-875,238,1
96,1.5000,-210,-859,105,1
97,1.5156,-85,-800,128,1
98,1.5313,-82,-828,101,1
99,1.5469,-62,-867,93,1
100,1.5625,-15,-859,128,1
101,1.5781,-23,-843,78,1
102,1.5938,-11,-824,105,1
103,1.6094,-27,-773,179,1
104,1.6250,-97,-769,171,1
105,1.6406,-109,-781,93,1
106,1.6563,-62,-820,42,1
107,1.6719,-15,-824,105,1
108,1.6875,-31,-859,105,1
109,1.7031,-85,-894,125,1
110,1.7188,-97,-1039,183,1
111,1.7344,-164,-1042,164,1
112,1.7500,-199,-1007,42,1
113,1.7656,-230,-972,15,1
114,1.7813,-281,-988,66,1
115,1.7969,-320,-968,19,1
116,1.8125,-281,-957,125,1
117,1.8281,-214,-949,101,1
118,1.8438,-160,-949,164,1
119,1.8594,-230,-925,132,1
120,1.8750,-359,-902,101,1
121,1.8906,-445,-890,250,1
122,1.9063,-472,-984,175,1
123,1.9219,-367,-1031,113,1
124,1.9375,-312,-1062,128,1
125,1.9531,-308,-1074,0,1
126,1.9688,-324,-1078,11,1
127,1.9844,-304,-1046,-42,1
128,2.0000,-121,-859,246,1
129,2.0156,-105,-867,238,1
130,2.0312,-121,-875,257,1
131,2.0469,-117,-898,187,1
132,2.0625,-136,-929,164,1
133,2.0781,-261,-996,93,1
134,2.0937,-265,-992,101,1
135,2.1094,-269,-957,109,1
136,2.1250,-167,-960,167,1
137,2.1406,-183,-992,105,1
138,2.1562,-253,-1003,78,1
139,2.1719,-253,-972,93,1
140,2.1875,-214,-953,113,1
141,2.2031,-257,-992,128,1
142,2.2187,-242,-968,148,1
143,2.2344,-144,-957,242,1
144,2.2500,-128,-894,175,1
145,2.2656,-128,-902,164,1
146,2.2812,-152,-933,78,1
147,2.2969,-199,-976,66,1
148,2.3125,-148,-933,171,1
149,2.3281,-175,-980,187,1
150,2.3437,-195,-949,160,1
151,2.3594,-191,-972,203,1
152,2.3750,-164,-960,140,1
153,2.3906,-156,-980,125,1
154,2.4062,-242,-1011,93,1
155,2.4219,-250,-1003,-7,1
156,2.4375,-183,-1039,31,1
157,2.4531,-214,-1019,140,1
158,2.4687,-238,-1050,136,1
159,2.4844,-230,-1062,97,1
160,2.5000,-238,-1050,128,1
161,2.5156,-246,-1078,164,1
162,2.5312,-265,-1085,152,1
163,2.5469,-242,-1070,101,1
164,2.5625,-296,-1066,152,1
165,2.5781,-316,-1019,148,1
166,2.5937,-128,-988,148,1
167,2.6094,-89,-1000,234,1
168,2.6250,-54,-1035,394,1
169,2.6406,-58,-1042,445,1
170,2.6562,-152,-1023,472,1
171,2.6719,-234,-1035,468,1
172,2.6875,-238,-1078,460,1
173,2.7031,-93,-1207,230,1
174,2.7187,50,-1242,125,1
175,2.7344,97,-1253,85,1
176,2.7500,35,-1250,117,1
177,2.7656,74,-1179,140,1
178,2.7812,62,-1097,125,1
179,2.7969,35,-1019,167,1
180,2.8125,-3,-964,191,1
181,2.8281,-35,-855,199,1
182,2.8437,-82,-761,121,1
183,2.8594,-97,-660,82,1
184,2.8750,-101,-687,117,1
185,2.8906,-113,-671,50,1
186,2.9062,-27,-675,19,1
187,2.9219,-19,-679,136,1
188,2.9375,-50,-652,144,1
189,2.9531,-85,-671,132,1
190,2.9687,-128,-632,35,1
191,2.9844,-175,-628,132,1
192,3.0000,-105,-648,175,1
193,3.0156,-74,-761,62,1
194,3.0312,-27,-863,74,1
195,3.0469,31,-882,160,1
196,3.0625,628,-1062,167,1
197,3.0781,472,-1015,246,1
198,3.0937,203,-996,281,1
199,3.1094,31,-996,328,1
200,3.1250,42,-1000,257,1
201,3.1406,7,-1070,230,1
202,3.1562,50,-1117,125,1
203,3.1719,93,-1113,-7,1
204,3.1875,70,-1046,-23,1
205,3.2031,11,-996,-3,1
206,3.2187,121,-941,82,1
207,3.2344,164,-847,93,1
208,3.2500,82,-929,164,1
209,3.2656,-152,-925,246,1
210,3.2812,11,-933,89,1
211,3.2969,62,-960,-11,1
212,3.3125,179,-972,27,1
213,3.3281,187,-1000,117,1
214,3.3437,210,-996,160,1
215,3.3594,187,-984,171,1
216,3.3750,152,-992,257,1
217,3.3906,125,-976,296,1
218,3.4062,136,-996,203,1
219,3.4219,226,-1007,105,1
220,3.4375,210,-1027,121,1
221,3.4531,152,-1023,195,1
222,3.4687,136,-1019,152,1
223,3.4844,132,-1007,191,1
224,3.5000,74,-988,226,1
225,3.5156,62,-960,257,1
226,3.5312,39,-960,62,1
227,3.5469,226,-1007,-97,1
228,3.5625,121,-1019,-164,1
229,3.5781,109,-957,-85,1
230,3.5937,-27,-902,42,1
231,3.6094,-89,-839,160,1
232,3.6250,-203,-800,128,1
233,3.6406,-144,-878,101,1
234,3.6562,-136,-921,-3,1
235,3.6719,-35,-953,-23,1
236,3.6875,117,-1003,85,1
237,3.7031,277,-1019,-42,1
238,3.7187,277,-976,-23,1
239,3.7344,265,-957,62,1
240,3.7500,285,-980,156,1
241,3.7656,203,-1023,433,1
242,3.7812,164,-1046,328,1
243,3.7969,226,-1066,89,1
244,3.8125,246,-1093,42,1
245,3.8281,132,-1046,-23,1
246,3.8437,15,-957,31,1
247,3.8594,-15,-921,11,1
248,3.8750,-3,-886,42,1
249,3.8906,-101,-781,128,1
250,3.9062,-183,-761,97,1
251,3.9219,-199,-933,97,1
252,3.9375,-11,-984,50,1
253,3.9531,11,-1027,140,1
254,3.9687,31,-1023,125,1
255,3.9844,101,-1023,132,1
256,4.0000,109,-1105,-82,1
257,4.0156,101,-1074,-42,1
258,4.0312,121,-1054,-50,1
259,4.0469,128,-1054,-74,1
260,4.0625,35,-1000,3,1
261,4.0781,7,-1003,128,1
262,4.0937,125,-976,203,1
263,4.1094,183,-953,222,1
264,4.1250,195,-988,179,1
265,4.1406,70,-960,117,1
266,4.1562,-50,-898,7,1
267,4.1719,-152,-878,-19,1
268,4.1875,-167,-859,35,1
269,4.2031,-136,-917,230,1
270,4.2187,-19,-953,335,1
271,4.2344,3,-1007,296,1
272,4.2500,121,-1074,218,1
273,4.2656,191,-1101,148,1
274,4.2812,171,-1101,101,1
275,4.2969,121,-1109,66,1
276,4.3125,-31,-1054,-70,1
277,4.3281,-156,-976,-50,1
278,4.3437,-218,-914,109,1
279,4.3594,-109,-1007,238,1
280,4.3750,-39,-1042,210,1
281,4.3906,-15,-1105,132,1
282,4.4062,-97,-1042,85,1
283,4.4219,-140,-1000,-11,1
284,4.4375,-144,-1074,-31,1
285,4.4531,-11,-1074,-7,1
286,4.4687,-7,-1046,50,1
287,4.4844,-70,-996,70,1
288,4.5000,-101,-1003,58,1
289,4.5156,-82,-1007,0,1
290,4.5312,-62,-1058,62,1
291,4.5469,-62,-1003,54,1
292,4.5625,-97,-988,-3,1
293,4.5781,23,-1011,39,1
294,4.5937,54,-1015,50,1
295,4.6094,-11,-992,19,1
296,4.6250,-74,-1000,140,1
297,4.6406,-66,-984,257,1
298,4.6562,-39,-984,320,1
299,4.6719,74,-976,230,1
300,4.6875,132,-925,66,1
301,4.7031,125,-945,23,1
302,4.7187,136,-914,39,1
303,4.7344,93,-925,54,1
304,4.7500,105,-1000,156,1
305,4.7656,15,-1125,187,1
306,4.7812,7,-1156,140,1
307,4.7969,7,-1035,23,1
308,4.8125,-27,-812,-15,1
309,4.8281,-261,-785,-117,1
310,4.8437,-296,-785,-66,1
311,4.8594,-246,-699,23,1
312,4.8750,-257,-640,121,1
313,4.8906,-160,-832,191,1
314,4.9062,-54,-996,171,1
315,4.9219,39,-929,3,1
316,4.9375,125,-1015,-289,1
317,4.9531,277,-1066,-332,1
318,4.9687,453,-1109,3,1
319,4.9844,609,-1152,70,1
320,5.0000,273,-1121,31,1
321,5.0156,-277,-1015,257,1
322,5.0312,-289,-972,285,1
323,5.0469,-222,-960,253,1
324,5.0625,-187,-1031,109,1
325,5.0781,-136,-1152,-54,1
326,5.0937,-156,-1089,-191,1
327,5.1094,-171,-1082,-156,1
328,5.1250,-74,-992,54,1
329,5.1406,74,-878,42,1
330,5.1562,93,-738,23,1
331,5.1719,31,-738,31,1
332,5.1875,23,-761,113,1
333,5.2031,-7,-902,160,1
334,5.2187,-93,-1015,269,1
335,5.2344,-175,-1085,285,1
336,5.2500,-265,-1058,132,1
337,5.2656,-261,-1101,70,1
338,5.2812,-140,-1066,-31,1
339,5.2969,-140,-1015,39,1
340,5.3125,-97,-996,148,1
341,5.3281,-74,-964,195,1
342,5.3437,-132,-984,214,1
343,5.3594,-187,-933,214,1
344,5.3750,-179,-976,238,1
345,5.3906,-93,-1027,-105,1
346,5.4062,-74,-1046,-234,1
347,5.4219,-109,-1007,-19,1
348,5.4375,-85,-960,62,1
349,5.4531,-19,-910,203,1
350,5.4687,-70,-898,269,1
351,5.4844,-66,-886,195,1
352,5.5000,-156,-996,117,1
353,5.5156,-238,-1007,179,1
354,5.5312,-242,-1000,253,1
355,5.5469,-179,-933,171,1
356,5.5625,-136,-875,121,1
357,5.5781,-93,-851,160,1
358,5.5937,-93,-917,109,1
359,5.6094,-203,-1097,175,1
360,5.6250,-238,-1152,0,1
361,5.6406,-160,-1167,-70,1
362,5.6562,-175,-1074,-3,1
363,5.6719,-214,-863,132,1
364,5.6875,-152,-875,238,1
365,5.7031,-97,-878,175,1
366,5.7187,-214,-972,82,1
367,5.7344,-101,-1019,66,1
368,5.7500,-50,-996,82,1
369,5.7656,-58,-960,128,1
370,5.7812,-121,-968,128,1
371,5.7969,-136,-976,156,1
372,5.8125,-117,-980,210,1
373,5.8281,-136,-957,191,1
374,5.8437,-136,-992,144,1
375,5.8594,-226,-992,23,1
376,5.8750,-214,-972,105,1
377,5.8906,-167,-917,93,1
378,5.9062,-125,-953,148,1
379,5.9219,-187,-906,113,1
380,5.9375,-199,-851,78,1
381,5.9531,-195,-847,35,1
382,5.9687,-171,-863,7,1
383,5.9844,-175,-984,50,1
384,6.0000,-191,-945,113,1
385,6.0156,-210,-937,148,1
386,6.0312,-214,-949,136,1
387,6.0469,-226,-976,195,1
388,6.0625,-210,-996,164,1
389,6.0781,-222,-1023,164,1
390,6.0937,-261,-1019,179,1
391,6.1094,-316,-1027,113,1
392,6.1250,-292,-1062,152,1
393,6.1406,-277,-968,66,1
394,6.1562,-160,-960,35,1
395,6.1719,-164,-992,23,1
396,6.1875,-257,-933,121,1
397,6.2031,-238,-964,11,1
398,6.2187,-136,-976,160,1
399,6.2344,-234,-906,160,1
400,6.2500,-242,-933,78,1
401,6.2656,-257,-921,39,1
402,6.2812,-226,-949,23,1
403,6.2969,-136,-941,82,1
404,6.3125,-187,-925,46,1
405,6.3281,-199,-925,7,1
406,6.3437,-207,-875,-93,1
407,6.3594,-238,-867,-11,1
408,6.3750,-246,-835,0,1
409,6.3906,-160,-859,101,1
410,6.4062,-167,-894,167,1
411,6.4219,-289,-953,156,1
412,6.4375,-316,-1082,62,1
413,6.4531,-457,-1027,39,1
414,6.4687,-312,-1019,-23,1
415,6.4844,-300,-957,3,1
416,6.5000,-253,-917,117,1
417,6.5156,-242,-933,136,1
418,6.5312,-312,-949,101,1
419,6.5469,-296,-929,93,1
420,6.5625,-277,-828,70,1
421,6.5781,-58,-722,121,1
422,6.5937,-125,-683,328,1
423,6.6094,-210,-957,507,1
424,6.6250,-621,-1058,199,1
425,6.6406,-613,-1125,-66,1
426,6.6562,-406,-1179,-308,1
427,6.6719,-425,-1144,-74,1
428,6.6875,-312,-972,101,1
429,6.7031,-246,-957,117,1
430,6.7187,-289,-949,105,1
431,6.7344,-351,-933,78,1
432,6.7500,-296,-859,242,1
433,6.7656,-371,-855,222,1
434,6.7812,-324,-855,230,1
435,6.7969,-335,-910,132,1
436,6.8125,-289,-968,62,1
437,6.8281,-308,-996,105,1
438,6.8437,-312,-984,74,1
439,6.8594,-347,-1011,66,1
440,6.8750,-343,-957,93,1
441,6.8906,-367,-949,54,1
442,6.9062,-351,-957,23,1
443,6.9219,-304,-1000,70,1
444,6.9375,-316,-1000,82,1
445,6.9531,-300,-996,70,1
446,6.9687,-285,-972,136,1
447,6.9844,-296,-964,101,1
448,7.0000,-218,-968,54,1
449,7.0156,-183,-1015,0,1
450,7.0312,-203,-1019,-50,1
451,7.0469,-300,-984,39,1
452,7.0625,-316,-941,-27,1
453,7.0781,-289,-875,66,1
454,7.0937,-242,-863,105,1
455,7.1094,-42,-839,31,1
456,7.1250,11,-878,85,1
457,7.1406,35,-941,62,1
458,7.1562,-35,-1000,140,1
459,7.1719,-50,-988,195,1
460,7.1875,-89,-1015,210,1
461,7.2031,-144,-996,238,1
462,7.2187,-203,-980,250,1
463,7.2344,-191,-910,179,1
464,7.2500,-207,-910,222,1
465,7.2656,-261,-953,117,1
466,7.2812,-257,-933,-39,1
467,7.2969,-199,-910,-46,1
468,7.3125,-238,-890,-62,1
469,7.3281,-300,-867,-82,1
470,7.3437,-316,-847,-207,1
471,7.3594,-410,-898,-125,1
472,7.3750,-183,-1019,-35,1
473,7.3906,-97,-1054,15,1
474,7.4062,-3,-1019,167,1
475,7.4219,-66,-1003,175,1
476,7.4375,-164,-925,230,1
477,7.4531,-183,-878,300,1
478,7.4687,-226,-902,234,1
479,7.4844,-183,-855,265,1
480,7.5000,-179,-1039,187,1
481,7.5156,-324,-1000,58,1
482,7.5312,-195,-1046,42,1
483,7.5469,-125,-1039,23,1
484,7.5625,-125,-1000,-74,1
485,7.5781,-203,-988,-31,1
486,7.5937,-207,-960,15,1
487,7.6094,-261,-984,19,1
488,7.6250,-269,-992,78,1
489,7.6406,-214,-976,42,1
490,7.6562,-210,-984,39,1
491,7.6719,-214,-980,39,1
492,7.6875,-230,-964,39,1
493,7.7031,-226,-976,46,1
494,7.7187,-242,-972,62,1
495,7.7344,-250,-988,35,1
496,7.7500,-269,-949,70,1
497,7.7656,-226,-964,50,1
498,7.7812,-207,-984,58,1
499,7.7969,-210,-976,42,1
500,7.8125,-187,-960,42,1
501,7.8281,-179,-960,70,1
502,7.8437,-187,-972,132,1
503,7.8594,-203,-960,132,1
504,7.8750,-195,-972,74,1
505,7.8906,-179,-976,74,1
506,7.9062,-199,-976,70,1
507,7.9219,-199,-960,70,1
508,7.9375,-183,-960,82,1
509,7.9531,-207,-953,89,1
510,7.9687,-203,-960,82,1
511,7.9844,-207,-953,117,1
512,8.0000,-203,-960,70,2
513,8.0156,-160,-960,78,2
514,8.0312,-167,-960,50,2
515,8.0469,-171,-949,109,2
