# LOGGING FINISHED
# samples=257  rate_hz=64  duration_s=4.02
# phase boundaries (sample idx): 0 96
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-237,-40,-960,0
1,0.0156,-229,-42,-959,0
2,0.0312,-232,-26,-959,0
3,0.0469,-248,-46,-937,0
4,0.0625,-243,-46,-1048,0
5,0.0781,-210,-18,-1040,0
6,0.0938,-212,-46,-988,0
7,0.1094,-245,-32,-989,0
8,0.1250,-250,-32,-939,0
9,0.1406,-269,-54,-992,0
10,0.1562,-215,-39,-936,0
11,0.1719,-224,-30,-909,0
12,0.1875,-235,-31,-925,0
13,0.2031,-227,-51,-923,0
14,0.2188,-232,-39,-952,0
15,0.2344,-241,-37,-948,0
16,0.2500,-236,-43,-958,0
17,0.2656,-232,-33,-966,0
18,0.2812,-228,-34,-1021,0
19,0.2969,-234,-34,-1003,0
20,0.3125,-229,-38,-986,0
21,0.3281,-234,-38,-936,0
22,0.3438,-229,-39,-930,0
23,0.3594,-241,-31,-977,0
24,0.3750,-249,-33,-1000,0
25,0.3906,-228,-45,-971,0
26,0.4062,-233,-37,-951,0
27,0.4219,-235,-34,-916,0
28,0.4375,-234,-48,-968,0
29,0.4531,-212,-40,-972,0
30,0.4688,-238,-36,-984,0
31,0.4844,-238,-37,-1015,0
32,0.5000,-230,-42,-1000,0
33,0.5156,-236,-34,-971,0
34,0.5312,-231,-33,-976,0
35,0.5469,-229,-40,-977,0
36,0.5625,-225,-36,-961,0
37,0.5781,-226,-33,-957,0
38,0.5938,-234,-36,-995,0
39,0.6094,-238,-37,-966,0
40,0.6250,-235,-40,-970,0
41,0.6406,-231,-46,-986,0
42,0.6562,-237,-37,-973,0
43,0.6719,-234,-43,-960,0
44,0.6875,-237,-31,-971,0
45,0.7031,-238,-38,-996,0
46,0.7188,-233,-43,-909,0
47,0.7344,-233,-29,-944,0
48,0.7500,-232,-31,-964,0
49,0.7656,-200,-45,-961,0
50,0.7812,-235,-36,-985,0
51,0.7969,-230,-46,-1001,0
52,0.8125,-233,-45,-996,0
53,0.8281,-231,-32,-968,0
54,0.8438,-232,-38,-1021,0
55,0.8594,-237,-35,-946,0
56,0.8750,-230,-36,-938,0
57,0.8906,-233,-34,-948,0
58,0.9062,-236,-37,-982,0
59,0.9219,-229,-42,-975,0
60,0.9375,-230,-37,-968,0
61,0.9531,-230,-33,-1011,0
62,0.9688,-231,-36,-986,0
63,0.9844,-232,-31,-952,0
64,1.0000,-240,-31,-1002,0
65,1.0156,-235,-38,-980,0
66,1.0312,-233,-33,-1003,0
67,1.0469,-235,-37,-963,0
68,1.0625,-227,-38,-974,0
69,1.0781,-216,-42,-957,0
70,1.0938,-233,-39,-928,0
71,1.1094,-229,-34,-966,0
72,1.1250,-234,-34,-964,0
73,1.1406,-231,-42,-970,0
74,1.1562,-221,-44,-921,0
75,1.1719,-231,-33,-934,0
76,1.1875,-233,-39,-931,0
77,1.2031,-234,-42,-977,0
78,1.2188,-229,-37,-986,0
79,1.2344,-206,-44,-932,0
80,1.2500,-229,-38,-980,0
81,1.2656,-234,-20,-932,0
82,1.2812,-231,-36,-955,0
83,1.2969,-232,-40,-981,0
84,1.3125,-210,-43,-983,0
85,1.3281,-230,-36,-948,0
86,1.3438,-233,-16,-948,0
87,1.3594,-231,-33,-949,0
88,1.3750,-233,-37,-999,0
89,1.3906,-203,-46,-950,0
90,1.4062,-238,-33,-957,0
91,1.4219,-234,-22,-969,0
92,1.4375,-232,-40,-964,0
93,1.4531,-238,-42,-970,0
94,1.4688,-242,-39,-914,0
95,1.4844,-235,-41,-990,0
96,1.5000,-231,-42,-970,1
97,1.5156,-228,-36,-963,1
98,1.5312,-232,-40,-972,1
99,1.5469,-223,-42,-992,1
100,1.5625,-230,-42,-985,1
101,1.5781,-232,-18,-975,1
102,1.5938,-233,-38,-922,1
103,1.6094,-229,-39,-969,1
104,1.6250,-240,-41,-943,1
105,1.6406,-233,-39,-996,1
106,1.6562,-229,-42,-1025,1
107,1.6719,-231,-32,-1033,1
108,1.6875,-235,-33,-994,1
109,1.7031,-246,-36,-987,1
110,1.7188,-236,-31,-969,1
111,1.7344,-237,-29,-969,1
112,1.7500,-248,-35,-999,1
113,1.7656,-236,-30,-951,1
114,1.7812,-215,-39,-921,1
115,1.7969,-229,-39,-1003,1
116,1.8125,-236,-38,-937,1
117,1.8281,-234,-33,-993,1
118,1.8438,-230,-38,-943,1
119,1.8594,-227,-35,-967,1
120,1.8750,-232,-40,-948,1
121,1.8906,-233,-35,-949,1
122,1.9062,-234,-40,-978,1
123,1.9219,-236,-34,-970,1
124,1.9375,-247,-44,-987,1
125,1.9531,-233,-37,-961,1
126,1.9688,-229,-41,-968,1
127,1.9844,-233,-33,-945,1
128,2.0000,-234,-39,-923,1
129,2.0156,-237,-38,-994,1
130,2.0312,-235,-38,-983,1
131,2.0469,-233,-39,-934,1
132,2.0625,-233,-41,-912,1
133,2.0781,-234,-40,-961,1
134,2.0938,-231,-42,-972,1
135,2.1094,-234,-41,-993,1
136,2.1250,-231,-39,-1024,1
137,2.1406,-235,-34,-1009,1
138,2.1562,-232,-42,-936,1
139,2.1719,-227,-38,-980,1
140,2.1875,-231,-35,-927,1
141,2.2031,-235,-42,-981,1
142,2.2188,-231,-51,-988,1
143,2.2344,-233,-41,-967,1
144,2.2500,-235,-41,-989,1
145,2.2656,-252,-39,-1000,1
146,2.2812,-229,-39,-971,1
147,2.2969,-236,-56,-976,1
148,2.3125,-228,-36,-958,1
149,2.3281,-230,-39,-972,1
150,2.3438,-261,-38,-1003,1
151,2.3594,-232,-39,-952,1
152,2.3750,-233,-32,-963,1
153,2.3906,-234,-41,-927,1
154,2.4062,-231,-23,-999,1
155,2.4219,-228,-35,-968,1
156,2.4375,-233,-37,-974,1
157,2.4531,-230,-38,-959,1
158,2.4688,-232,-33,-970,1
159,2.4844,-230,-40,-953,1
160,2.5000,-236,-40,-968,1
161,2.5156,-232,-38,-984,1
162,2.5312,-231,-42,-1013,1
163,2.5469,-230,-44,-1000,1
164,2.5625,-233,-36,-949,1
165,2.5781,-245,-33,-977,1
166,2.5938,-236,-39,-940,1
167,2.6094,-234,-24,-958,1
168,2.6250,-232,-32,-985,1
169,2.6406,-235,-41,-951,1
170,2.6562,-241,-36,-995,1
171,2.6719,-233,-37,-946,1
172,2.6875,-231,-34,-953,1
173,2.7031,-236,-40,-988,1
174,2.7188,-234,-26,-990,1
175,2.7344,-238,-36,-965,1
176,2.7500,-230,-34,-969,1
177,2.7656,-236,-39,-1005,1
