# CADENCE on-board capture (CPX SPI-flash logger)
# samples=5842  rate_hz=64  duration_s=91.28
# protocol: STILL>WALK>FREEZE>WALK>FREEZE>WALK>FREEZE>WALK>STILL
# analyze: --labels still,walk,freeze,walk,freeze,walk,freeze,walk,still --freeze-phases 2,4,6
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,45,-138,1083,0
1,0.0156,39,-35,1037,0
2,0.0312,-7,-10,893,0
3,0.0469,-98,-22,981,0
4,0.0625,-84,-41,987,0
5,0.0781,-52,-25,1020,0
6,0.0937,-17,-20,943,0
7,0.1094,-29,-18,975,0
8,0.1250,-57,-5,951,0
9,0.1406,-18,-5,927,0
10,0.1562,0,1,898,0
11,0.1719,-11,15,841,0
12,0.1875,-104,40,831,0
13,0.2031,-159,44,879,0
14,0.2187,-189,21,880,0
15,0.2344,-157,0,886,0
16,0.2500,-171,-18,1025,0
17,0.2656,-185,-30,954,0
18,0.2812,-259,-43,1096,0
19,0.2969,-188,-19,932,0
20,0.3125,-179,4,882,0
21,0.3281,-170,-13,902,0
22,0.3437,-187,-28,1017,0
23,0.3594,-187,-10,1002,0
24,0.3750,-173,2,895,0
25,0.3906,-185,-27,952,0
26,0.4062,-187,-35,997,0
27,0.4219,-193,-20,926,0
28,0.4375,-144,-18,926,0
29,0.4531,-120,-14,910,0
30,0.4687,-142,-40,945,0
31,0.4844,-203,-59,943,0
32,0.5000,-202,-46,970,0
33,0.5156,-171,-34,905,0
34,0.5312,-161,-8,906,0
35,0.5469,-160,-9,975,0
36,0.5625,-160,0,872,0
37,0.5781,-137,-2,836,0
38,0.5937,-143,3,887,0
39,0.6094,-156,-21,959,0
40,0.6250,-168,-17,998,0
41,0.6406,-155,-22,1046,0
42,0.6562,-129,-3,945,0
43,0.6719,-97,3,888,0
44,0.6875,-89,-12,986,0
45,0.7031,-117,-13,944,0
46,0.7187,-149,-25,925,0
47,0.7344,-163,-18,997,0
48,0.7500,-163,-22,923,0
49,0.7656,-137,-37,1000,0
50,0.7812,-137,-31,954,0
51,0.7969,-145,-22,970,0
52,0.8125,-151,-20,926,0
53,0.8281,-154,2,940,0
54,0.8438,-161,3,888,0
55,0.8594,-170,22,900,0
56,0.8750,-147,44,939,0
57,0.8906,-115,30,955,0
58,0.9063,-123,28,1031,0
59,0.9219,-145,6,970,0
60,0.9375,-167,14,1018,0
61,0.9531,-162,28,955,0
62,0.9688,-158,42,927,0
63,0.9844,-160,26,1001,0
64,1.0000,-161,23,982,0
65,1.0156,-152,19,992,0
66,1.0313,-123,14,973,0
67,1.0469,-133,-6,1015,0
68,1.0625,-146,-16,1005,0
69,1.0781,-146,-19,961,0
70,1.0938,-149,-6,951,0
71,1.1094,-159,-2,919,0
72,1.1250,-130,-6,1010,0
73,1.1406,-147,-6,923,0
74,1.1563,-128,-12,981,0
75,1.1719,-119,-3,930,0
76,1.1875,-114,-4,899,0
77,1.2031,-114,-14,935,0
78,1.2188,-114,7,917,0
79,1.2344,-106,11,935,0
