# LOGGING FINISHED
# samples=2412  rate_hz=64  duration_s=37.69
# phase boundaries (sample idx): 0
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-70,1039,227,0
1,0.0156,-80,1078,297,0
2,0.0312,-40,1049,356,0
3,0.0469,-60,1088,346,0
4,0.0625,-50,1029,425,0
5,0.0781,-30,1058,306,0
6,0.0938,-10,1127,366,0
7,0.1094,-121,950,405,0
8,0.1250,-323,852,306,0
9,0.1406,-252,588,425,0
10,0.1562,-282,539,316,0
11,0.1719,-303,607,158,0
12,0.1875,-323,1058,-445,0
13,0.2031,-111,1617,-168,0
14,0.2188,707,1235,564,0
15,0.2344,50,931,425,0
16,0.2500,-575,1039,89,0
17,0.2656,-222,833,336,0
18,0.2812,-40,1088,356,0
19,0.2969,-30,1098,257,0
20,0.3125,-121,1039,227,0
21,0.3281,-121,1039,227,0
22,0.3438,-141,1049,247,0
23,0.3594,-252,980,306,0
24,0.3750,-141,1029,316,0
25,0.3906,-101,1049,267,0
26,0.4062,-80,1029,287,0
27,0.4219,-121,1058,267,0
28,0.4375,-101,1009,297,0
29,0.4531,-121,1009,277,0
30,0.4688,-70,1000,257,0
31,0.4844,-50,1000,257,0
32,0.5000,-80,1009,277,0
33,0.5156,-80,1009,277,0
34,0.5312,-131,990,247,0
35,0.5469,-111,980,257,0
36,0.5625,-131,990,247,0
37,0.5781,-121,980,257,0
38,0.5938,-70,990,306,0
39,0.6094,-70,990,306,0
40,0.6250,-151,1019,267,0
41,0.6406,-60,990,297,0
42,0.6562,-151,990,188,0
43,0.6719,-161,921,247,0
44,0.6875,-121,970,257,0
45,0.7031,-101,1078,257,0
46,0.7188,30,1058,247,0
47,0.7344,-141,960,297,0
48,0.7500,-80,1000,277,0
49,0.7656,-131,1029,237,0
50,0.7812,-90,1019,207,0
51,0.7969,-60,1029,257,0
52,0.8125,-60,1029,257,0
53,0.8281,-111,1029,267,0
54,0.8438,-50,980,287,0
55,0.8594,-80,1000,257,0
56,0.8750,-40,1078,237,0
57,0.8906,-70,1078,287,0
58,0.9062,-90,1098,277,0
59,0.9219,-60,1176,257,0
60,0.9375,-191,1068,336,0
61,0.9531,-343,1000,277,0
62,0.9688,-202,990,257,0
63,0.9844,-181,1078,277,0
64,1.0000,-101,1186,257,0
65,1.0156,-101,1186,257,0
66,1.0312,-101,1343,188,0
67,1.0469,10,1598,247,0
68,1.0625,20,1627,267,0
69,1.0781,151,1441,267,0
70,1.0938,70,1186,297,0
71,1.1094,70,1186,297,0
72,1.1250,-90,980,336,0
73,1.1406,-262,735,415,0
74,1.1562,-383,558,475,0
75,1.1719,-313,607,336,0
76,1.1875,-313,607,336,0
77,1.2031,232,549,207,0
78,1.2188,444,568,198,0
79,1.2344,444,568,198,0
80,1.2500,424,686,198,0
81,1.2656,585,686,207,0
82,1.2812,535,735,188,0
83,1.2969,535,735,188,0
84,1.3125,373,813,148,0
85,1.3281,272,921,148,0
86,1.3438,212,970,128,0
87,1.3594,131,1029,168,0
88,1.3750,60,1098,168,0
89,1.3906,10,1147,178,0
90,1.4062,10,1147,178,0
91,1.4219,-70,1137,247,0
92,1.4375,-111,1205,257,0
93,1.4531,-292,1186,356,0
94,1.4688,-333,1245,336,0
95,1.4844,-373,1215,257,0
96,1.5000,-333,1137,247,0
97,1.5156,-424,1098,267,0
98,1.5312,-525,1049,287,0
99,1.5469,-545,1019,257,0
100,1.5625,-595,1019,277,0
101,1.5781,-676,970,287,0
102,1.5938,-565,990,356,0
103,1.6094,70,1137,-188,0
104,1.6250,737,1274,-128,0
105,1.6406,-808,882,396,0
106,1.6562,10,1294,415,0
107,1.6719,282,1127,0,0
108,1.6875,-161,852,168,0
109,1.7031,40,1098,326,0
110,1.7188,20,1029,237,0
111,1.7344,20,1078,198,0
112,1.7500,-40,1039,207,0
113,1.7656,0,1029,277,0
114,1.7812,80,1009,267,0
115,1.7969,90,1000,247,0
116,1.8125,111,1009,237,0
117,1.8281,101,990,247,0
118,1.8438,121,1019,227,0
119,1.8594,111,1019,237,0
120,1.8750,60,1019,277,0
121,1.8906,30,1029,267,0
122,1.9062,50,1019,277,0
123,1.9219,30,1009,277,0
124,1.9375,-30,1039,257,0
125,1.9531,-10,1049,257,0
