idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,55,121,925,0
1,0.0156,46,134,968,0
2,0.0312,50,132,970,0
3,0.0469,39,124,994,0
4,0.0625,35,132,1006,0
5,0.0781,20,132,1038,0
6,0.0938,40,128,956,0
7,0.1094,40,135,969,0
8,0.1250,40,129,973,0
9,0.1406,40,128,995,0
10,0.1562,31,125,986,0
11,0.1719,35,131,968,0
12,0.1875,37,125,923,0
13,0.2031,42,132,971,0
14,0.2188,39,132,1028,0
15,0.2344,20,132,973,0
16,0.2500,46,129,939,0
17,0.2656,42,124,1005,0
18,0.2812,42,132,1017,0
19,0.2969,43,134,979,0
20,0.3125,51,127,952,0
21,0.3281,38,127,1008,0
22,0.3438,35,125,1014,0
23,0.3594,39,123,942,0
24,0.3750,35,122,942,0
25,0.3906,71,119,998,0
26,0.4062,38,127,966,0
27,0.4219,37,110,1022,0
28,0.4375,39,129,977,0
29,0.4531,38,131,980,0
30,0.4688,51,127,991,0
31,0.4844,43,126,970,0
32,0.5000,42,113,943,0
33,0.5156,39,130,999,0
34,0.5312,40,121,977,0
35,0.5469,14,128,1014,0
36,0.5625,39,136,1013,0
37,0.5781,42,132,994,0
38,0.5938,38,124,944,0
39,0.6094,35,130,980,0
40,0.6250,36,126,965,0
41,0.6406,36,135,958,0
42,0.6562,33,127,956,0
43,0.6719,35,142,996,0
44,0.6875,36,133,978,0
45,0.7031,35,122,1005,0
46,0.7188,38,131,952,0
47,0.7344,42,130,985,0
48,0.7500,43,118,949,0
49,0.7656,39,118,950,0
50,0.7812,38,130,976,0
51,0.7969,40,128,1018,0
52,0.8125,39,127,969,0
53,0.8281,39,133,963,0
54,0.8438,37,126,973,0
55,0.8594,38,135,1031,0
56,0.8750,33,130,973,0
57,0.8906,38,127,937,0
58,0.9062,38,132,966,0
59,0.9219,40,134,993,0
60,0.9375,34,132,964,0
61,0.9531,53,131,955,0
62,0.9688,37,133,1013,0
63,0.9844,42,119,971,0
64,1.0000,44,136,990,0
65,1.0156,42,115,983,0
66,1.0312,41,128,959,0
67,1.0469,32,126,978,0
68,1.0625,39,131,964,0
69,1.0781,43,130,975,0
70,1.0938,41,129,959,0
71,1.1094,45,123,936,0
72,1.1250,44,128,995,0
73,1.1406,35,130,946,0
74,1.1562,36,136,979,0
75,1.1719,38,122,992,0
76,1.1875,40,128,953,0
77,1.2031,44,124,968,0
78,1.2188,38,126,975,0
79,1.2344,45,126,940,0
80,1.2500,37,138,958,0
81,1.2656,33,134,978,0
82,1.2812,35,128,973,0
83,1.2969,42,129,951,0
84,1.3125,40,123,949,0
85,1.3281,39,127,945,0
86,1.3438,36,125,982,0
87,1.3594,40,123,968,0
88,1.3750,39,141,957,0
89,1.3906,36,119,943,0
90,1.4062,41,125,1015,0
91,1.4219,26,129,1017,0
92,1.4375,40,128,969,0
93,1.4531,42,133,970,0
94,1.4688,38,130,1019,0
95,1.4844,38,115,983,0
96,1.5000,44,123,960,0
97,1.5156,39,131,1008,0
98,1.5312,43,128,1018,0
99,1.5469,37,128,944,0
100,1.5625,37,130,986,0
101,1.5781,54,128,969,0
102,1.5938,37,125,962,0
103,1.6094,36,126,968,0
104,1.6250,38,137,1011,0
105,1.6406,42,121,924,0
106,1.6562,19,131,928,0
107,1.6719,40,129,953,0
108,1.6875,44,129,1004,0
109,1.7031,39,119,968,0
110,1.7188,42,131,972,0
111,1.7344,25,125,1015,0
112,1.7500,40,130,983,0
113,1.7656,39,131,997,0
114,1.7812,37,128,986,0
115,1.7969,41,129,941,0
116,1.8125,69,122,967,0
117,1.8281,42,132,945,0
118,1.8438,41,130,949,0
119,1.8594,42,134,1011,0
120,1.8750,42,133,989,0
121,1.8906,41,127,947,0
122,1.9062,41,127,959,0
123,1.9219,34,129,983,0
124,1.9375,41,117,934,0
125,1.9531,38,132,970,0
126,1.9688,38,131,929,0
127,1.9844,20,128,976,0
128,2.0000,41,131,919,0
129,2.0156,36,133,1017,0
130,2.0312,35,125,964,0
131,2.0469,42,126,910,0
132,2.0625,42,130,962,0
133,2.0781,40,131,978,0
134,2.0938,38,124,920,0
135,2.1094,40,125,958,0
136,2.1250,36,126,965,0
137,2.1406,58,129,949,0
138,2.1562,38,128,950,0
139,2.1719,37,126,967,0
140,2.1875,43,126,985,0
141,2.2031,38,127,999,0
142,2.2188,39,126,1010,0
143,2.2344,36,126,961,0
144,2.2500,38,124,983,0
145,2.2656,42,134,972,0
146,2.2812,41,135,964,0
147,2.2969,19,130,953,0
148,2.3125,39,129,978,0
149,2.3281,40,132,968,0
150,2.3438,41,138,987,0
151,2.3594,42,142,923,0
152,2.3750,39,122,959,0
153,2.3906,40,127,991,0
154,2.4062,40,136,968,0
155,2.4219,44,124,936,0
156,2.4375,43,137,965,0
157,2.4531,52,121,1003,0
158,2.4688,40,129,924,0
159,2.4844,41,127,1056,0
160,2.5000,42,119,998,0
161,2.5156,42,124,967,0
162,2.5312,36,119,985,0
163,2.5469,38,128,934,0
164,2.5625,41,128,937,0
165,2.5781,36,141,960,0
166,2.5938,42,130,942,0
167,2.6094,64,129,926,0
168,2.6250,37,128,941,0
169,2.6406,31,128,954,0
170,2.6562,34,133,951,0
171,2.6719,33,130,979,0
172,2.6875,18,129,994,0
173,2.7031,38,133,953,0
174,2.7188,38,136,982,0
175,2.7344,42,124,1001,0
176,2.7500,37,125,942,0
177,2.7656,35,125,980,0
178,2.7812,38,130,953,0
179,2.7969,42,138,968,0
180,2.8125,43,118,963,0
181,2.8281,37,126,996,0
182,2.8438,23,131,1015,0
183,2.8594,48,135,966,0
184,2.8750,38,123,936,0
185,2.8906,37,122,965,0
186,2.9062,40,135,986,0
187,2.9219,39,132,962,0
188,2.9375,37,125,980,0
189,2.9531,41,110,951,0
190,2.9688,43,137,1010,0
191,2.9844,43,130,948,0
192,3.0000,62,124,908,0
193,3.0156,35,126,971,0
194,3.0312,40,128,985,0
195,3.0469,39,132,963,0
196,3.0625,42,125,972,0
197,3.0781,33,125,989,0
198,3.0938,40,132,973,0
199,3.1094,42,131,923,0
200,3.1250,43,139,982,0
201,3.1406,42,128,969,0
202,3.1562,17,136,955,0
203,3.1719,41,125,980,0
204,3.1875,36,127,946,0
205,3.2031,34,123,959,0
206,3.2188,42,127,997,0
207,3.2344,24,135,924,0
208,3.2500,42,121,965,0
209,3.2656,40,134,986,0
210,3.2812,42,127,911,0
211,3.2969,37,127,932,0
212,3.3125,40,124,970,0
213,3.3281,37,127,973,0
214,3.3438,40,129,1010,0
215,3.3594,40,123,942,0
216,3.3750,37,133,979,0
217,3.3906,35,123,1021,0
218,3.4062,61,130,951,0
219,3.4219,41,135,956,0
220,3.4375,41,138,979,0
221,3.4531,39,126,952,0
222,3.4688,39,133,924,0
223,3.4844,39,127,973,0
224,3.5000,39,130,950,0
225,3.5156,38,124,942,0
226,3.5312,38,127,985,0
227,3.5469,36,132,947,0
228,3.5625,33,128,993,0
229,3.5781,39,129,966,0
230,3.5938,39,144,984,0
231,3.6094,41,128,930,0
232,3.6250,40,133,996,0
233,3.6406,36,124,909,0
234,3.6562,34,124,949,0
235,3.6719,40,129,979,0
236,3.6875,39,141,977,0
237,3.7031,39,127,963,0
238,3.7188,15,128,991,0
239,3.7344,39,125,988,0
240,3.7500,37,124,1035,0
241,3.7656,39,123,949,0
242,3.7812,37,131,962,0
243,3.7969,56,127,995,0
244,3.8125,39,131,952,0
245,3.8281,40,126,976,0
246,3.8438,37,133,999,0
247,3.8594,38,137,921,0
248,3.8750,38,127,972,0
249,3.8906,42,129,950,0
250,3.9062,38,135,972,0
251,3.9219,42,135,1013,0
252,3.9375,41,127,969,0
253,3.9531,26,131,951,0
254,3.9688,32,115,965,0
255,3.9844,34,133,978,0
256,4.0000,46,152,922,0
257,4.0156,44,131,940,0
258,4.0312,65,107,971,0
259,4.0469,33,128,987,0
260,4.0625,44,142,964,0
261,4.0781,34,128,926,0
262,4.0938,30,108,1021,0
263,4.1094,40,124,952,0
264,4.1250,39,137,1013,0
265,4.1406,39,113,946,0
266,4.1562,33,110,947,0
267,4.1719,37,127,965,0
268,4.1875,54,142,1011,0
269,4.2031,37,131,964,0
270,4.2188,33,109,1001,0
271,4.2344,37,137,1000,0
272,4.2500,41,133,951,0
273,4.2656,29,115,1012,0
274,4.2812,36,121,1001,0
275,4.2969,40,135,968,0
276,4.3125,43,130,977,0
277,4.3281,37,132,970,0
278,4.3438,38,124,946,0
279,4.3594,37,133,950,0
280,4.3750,40,128,1021,0
281,4.3906,39,115,968,0
282,4.4062,37,118,943,0
283,4.4219,30,134,981,0
284,4.4375,40,133,989,0
285,4.4531,34,126,984,0
286,4.4688,38,124,926,0
287,4.4844,37,132,968,0
288,4.5000,13,126,1045,0
289,4.5156,32,126,982,0
290,4.5312,36,127,931,0
291,4.5469,32,140,964,0
292,4.5625,35,128,968,0
293,4.5781,38,119,1007,0
294,4.5938,63,129,976,0
295,4.6094,43,127,919,0
296,4.6250,35,133,1015,0
297,4.6406,38,126,990,0
298,4.6562,33,132,967,0
299,4.6719,29,131,982,0
300,4.6875,39,135,930,0
301,4.7031,41,139,991,0
302,4.7188,36,131,974,0
303,4.7344,36,121,995,0
304,4.7500,26,123,958,0
305,4.7656,42,132,976,0
306,4.7812,40,129,1019,0
307,4.7969,40,127,943,0
308,4.8125,33,133,960,0
309,4.8281,52,122,980,0
310,4.8438,39,130,911,0
311,4.8594,42,121,956,0
312,4.8750,35,128,954,0
313,4.8906,41,120,1023,0
314,4.9062,45,131,991,0
315,4.9219,43,133,969,0
316,4.9375,42,133,953,0
317,4.9531,38,139,986,0
318,4.9688,41,129,977,0
319,4.9844,28,137,931,0
320,5.0000,36,128,958,0
321,5.0156,34,111,974,0
322,5.0312,41,129,1010,0
323,5.0469,37,129,1034,0
324,5.0625,42,134,988,0
325,5.0781,40,128,1010,0
326,5.0938,35,134,969,0
327,5.1094,41,135,949,0
328,5.1250,42,130,939,0
329,5.1406,27,122,960,0
330,5.1562,32,124,968,0
331,5.1719,38,114,943,0
332,5.1875,34,116,929,0
333,5.2031,33,117,937,0
334,5.2188,68,136,926,0
335,5.2344,39,129,1010,0
336,5.2500,36,129,1015,0
337,5.2656,52,152,978,0
338,5.2812,48,131,944,0
339,5.2969,41,103,905,0
340,5.3125,37,109,958,0
341,5.3281,31,128,923,0
342,5.3438,32,119,916,0
343,5.3594,24,121,954,0
344,5.3750,18,125,948,0
345,5.3906,36,132,991,0
346,5.4062,42,134,998,0
347,5.4219,50,136,987,0
348,5.4375,36,125,972,0
349,5.4531,26,127,956,0
350,5.4688,46,131,984,0
351,5.4844,33,123,964,0
352,5.5000,25,112,968,0
353,5.5156,31,129,957,0
354,5.5312,27,144,1000,0
355,5.5469,42,140,1006,0
356,5.5625,37,133,991,0
357,5.5781,31,120,949,0
358,5.5938,36,129,1007,0
359,5.6094,26,138,1056,0
360,5.6250,39,126,971,0
361,5.6406,32,119,1010,0
362,5.6562,31,126,963,0
363,5.6719,35,130,950,0
364,5.6875,34,128,968,0
365,5.7031,34,130,1029,0
366,5.7188,40,135,928,0
367,5.7344,45,137,1005,0
368,5.7500,40,127,948,0
369,5.7656,40,129,972,0
370,5.7812,34,126,991,0
371,5.7969,37,125,932,0
372,5.8125,38,134,1053,0
373,5.8281,38,119,975,0
374,5.8438,37,125,958,0
375,5.8594,42,132,1013,0
376,5.8750,41,132,1009,0
377,5.8906,39,133,958,0
